"Sample Group","Source","Source ID","Well #","Site ID","Sample ID","Sample Date","Sample Type","# Samples","# Results","Sample Time","Description","Date Reported","Source","Collector","Lab ID","Lab","Reason for No Results","Lab Comments"
"Total Organic Carbon Raw Water","Well","1","(none)","","2025820-21","02/19/2009","Raw Water","1","2","1400","","03/03/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","2026116","02/19/2009","Compliance","1","5","1430","","03/03/2009","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Radioactivity","Entry Point","100","(none)","","2040848-49","02/09/2009","Composite","1","6","800","","04/10/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Ambient"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2009667","01/22/2009","Compliance","1","1","1415","","02/02/2009","Entry Point","D. ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2009665-66","01/22/2009","Raw Water","1","2","1405","","02/02/2009","Well","D. ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1993735","12/16/2008","Compliance","1","1","1300","","01/09/2009","Entry Point","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1993733-34","12/16/2008","Raw Water","1","2","1300","","01/09/2009","Well","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1980646","11/20/2008","Compliance","1","6","830","","12/03/2008","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1980645","11/20/2008","Compliance","1","1","915","","12/03/2008","Entry Point","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1980643-44","11/20/2008","Raw Water","1","2","915","","12/03/2008","Well","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1980647","11/20/2008","Compliance","1","5","830","","12/03/2008","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1964135","10/27/2008","Compliance","1","1","815","","11/05/2008","Entry Point","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1964133-34","10/27/2008","Raw Water","1","2","815","","11/05/2008","Well","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1960782","10/21/2008","Compliance","1","6","1400","","11/03/2008","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Inorganics","Entry Point","100","(none)","","1960783","10/21/2008","Compliance","1","1","1430","","11/03/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1960781","10/21/2008","Compliance","1","5","1400","","11/03/2008","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1936371","09/16/2008","Compliance","1","1","1353","","09/23/2008","Entry Point","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1936370,72","09/16/2008","Raw Water","1","2","1347","","09/23/2008","Well","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1917797","08/21/2008","Compliance","1","1","930","","09/04/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1917795-96","08/21/2008","Raw Water","1","2","930","","09/04/2008","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1891292","07/17/2008","Compliance","1","1","1500","","08/04/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1891290-91","07/17/2008","Raw Water","1","2","1500","","08/04/2008","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1863886","06/09/2008","Compliance","1","1","1400","","06/28/2008","Entry Point","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1863884-85","06/09/2008","Raw Water","1","2","1400","","06/28/2008","Well","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1845881","05/12/2008","Compliance","1","1","1300","","05/27/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1845879-80","05/12/2008","Raw Water","1","2","1300","","05/27/2008","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1835014","04/24/2008","Compliance","1","6","1330","","05/02/2008","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Inorganics","Entry Point","100","(none)","","1834844-46","04/24/2008","Compliance","1","16","1400","","05/09/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet-DTP entered EP 100 (per prev samples)"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1835013","04/24/2008","Compliance","1","5","1330","","05/02/2008","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Radioactivity","Entry Point","100","(none)","","1831095-96,99","04/17/2008","Composite","1","6","1400","","05/15/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Synthetic Organics","Entry Point","100","(none)","","1831097-98,100-02,05","04/17/2008","Compliance","1","40","1403","","05/15/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet - DTP removed ""0"" PCB result,not req&lab not cert"
"Volatile Organics","Entry Point","100","(none)","","1831103","04/17/2008","Compliance","1","50","1415","","05/15/2008","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1829109","04/15/2008","Compliance","1","1","1320","","04/28/2008","Entry Point","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1829108,10","04/15/2008","Raw Water","1","2","1325","","04/28/2008","Well","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1801057","03/03/2008","Compliance","1","1","1325","","03/18/2008","Entry Point","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1801056,58","03/03/2008","Raw Water","1","2","1327","","03/18/2008","Well","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1795364","02/21/2008","Compliance","1","1","1350","","03/06/2008","Entry Point","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1795363,65","02/21/2008","Raw Water","1","2","1345","","03/06/2008","Well","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1779939","01/23/2008","Compliance","1","6","1430","","02/01/2008","Distribution System","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1779908","01/23/2008","Compliance","1","1","1210","","02/01/2008","Entry Point","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1779907,09","01/23/2008","Raw Water","1","2","1215","","02/01/2008","Well","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1779938","01/23/2008","Compliance","1","5","1430","","02/01/2008","Distribution System","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1760853","12/13/2007","Compliance","1","1","1400","","12/27/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1760851-52","12/13/2007","Raw Water","1","2","1400","","12/27/2007","Well","E KEIFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1738775","11/06/2007","Compliance","1","1","1505","","11/15/2007","Entry Point","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1738773-74","11/06/2007","Raw Water","1","2","1500","","11/15/2007","Well","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1727097","10/17/2007","Compliance","1","6","1100","","11/01/2007","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1727146","10/17/2007","Compliance","1","1","1000","","11/01/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1727144-45","10/17/2007","Raw Water","1","2","1000","","11/01/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1727096","10/17/2007","Compliance","1","5","1100","","11/01/2007","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1713621","09/25/2007","Compliance","1","1","1300","","10/10/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1713620","09/25/2007","Raw Water","1","1","1300","","10/10/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1712995","09/24/2007","Raw Water","1","1","1015","","10/10/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1688274","08/15/2007","Compliance","1","1","1045","","08/27/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1688272-73","08/15/2007","Raw Water","1","2","1045","","08/27/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1663933","07/10/2007","Compliance","1","6","1410","","07/23/2007","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1663915","07/10/2007","Compliance","1","1","1454","","07/19/2007","Entry Point","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1663913-14","07/10/2007","Raw Water","1","2","1505","","07/19/2007","Well","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1663934","07/10/2007","Compliance","1","5","1410","","07/23/2007","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1650440","06/18/2007","Compliance","1","1","1400","","06/29/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1650438-39","06/18/2007","Raw Water","1","2","1400","","06/29/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1631172","05/16/2007","Compliance","1","1","1330","","05/29/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1631170-71","05/16/2007","Raw Water","1","2","1330","","05/29/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1615148","04/17/2007","Compliance","1","6","1155","","05/03/2007","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1615147","04/17/2007","Compliance","1","5","1150","","05/03/2007","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1606972","04/03/2007","Compliance","1","1","1450","","04/11/2007","Entry Point","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1606971,73","04/03/2007","Raw Water","1","2","1450","","04/11/2007","Well","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1597491","03/14/2007","Compliance","1","1","1200","","03/22/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1597492-93","03/14/2007","Raw Water","1","2","1200","","03/22/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Inorganics","Entry Point","100","(none)","","1585949-50","02/20/2007","Compliance","1","16","1450","","03/02/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1586013","02/20/2007","Compliance","1","1","1450","","02/27/2007","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1586011-12","02/20/2007","Raw Water","1","2","1450","","02/27/2007","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","1569348","01/16/2007","Compliance","1","6","1148","","01/26/2007","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","1569349","01/16/2007","Compliance","1","5","1148","","01/26/2007","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1568568","01/15/2007","Compliance","1","1","1120","","01/25/2007","Entry Point","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","1568567,69","01/15/2007","Raw Water","1","2","1115","","01/25/2007","Well","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","427064","12/13/2006","Compliance","1","1","1510","","01/02/2007","Entry Point","J. LEE","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","427063","12/13/2006","Raw Water","1","2","1510","","01/02/2007","Well","J. LEE","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","424068","11/07/2006","Compliance","1","1","945","","12/05/2006","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","424067","11/07/2006","Raw Water","1","2","945","","12/05/2006","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Haloacetic Acids","Distribution System","(none)","(none)","","422009","10/17/2006","Compliance","1","6","1210","","11/08/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","422010","10/17/2006","Compliance","1","1","1300","","11/08/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","422011","10/17/2006","Raw Water","1","2","1300","","11/08/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","422008","10/17/2006","Compliance","1","5","1210","","11/08/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","417472","09/11/2006","Compliance","1","1","900","","09/30/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","417471","09/11/2006","Raw Water","1","2","900","","09/30/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","414146","08/08/2006","Compliance","1","1","800","","09/12/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","","TOC contracted out to Marquette University."
"Total Organic Carbon Raw Water","Well","1","(none)","","414147","08/08/2006","Raw Water","1","2","800","","09/12/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","","TOC contracted out to Marquette University"
"Haloacetic Acids","Distribution System","(none)","(none)","","412329","07/19/2006","Compliance","1","6","1200","","07/31/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","412330","07/19/2006","Compliance","1","1","1300","","07/31/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","412331","07/19/2006","Raw Water","1","2","1300","","07/31/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","412328","07/19/2006","Compliance","1","5","1200","","07/31/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","407410","06/01/2006","Compliance","1","1","1000","","06/23/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","407409","06/01/2006","Raw Water","1","2","1000","","06/23/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","404350","05/03/2006","Compliance","1","1","1100","","05/19/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","404349","05/03/2006","Raw Water","1","2","1100","","05/19/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Haloacetic Acids","Distribution System","(none)","(none)","","401571","04/04/2006","Compliance","1","6","1320","","04/20/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","401569","04/04/2006","Compliance","1","1","1145","","04/20/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","401570","04/04/2006","Raw Water","1","2","1145","","04/20/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","401572","04/04/2006","Compliance","1","5","1320","","04/20/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","398960","03/06/2006","Compliance","1","1","1230","","03/10/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","398959","03/06/2006","Raw Water","1","2","1230","","03/10/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","397140","02/07/2006","Compliance","1","1","845","","02/21/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","397139","02/07/2006","Raw Water","1","2","845","","02/21/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Haloacetic Acids","Distribution System","(none)","(none)","","395727","01/16/2006","Compliance","1","6","1130","","02/09/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","","395728","01/16/2006","Compliance","1","15","1030","","02/09/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","395725","01/16/2006","Compliance","1","1","1100","","01/25/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","395724","01/16/2006","Raw Water","1","2","1100","","01/25/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","395726","01/16/2006","Compliance","1","5","1130","","02/09/2006","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","393883","12/15/2005","Compliance","1","1","730","","01/05/2006","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","393882","12/15/2005","Raw Water","1","2","730","","01/05/2006","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","391205","11/09/2005","Compliance","1","1","1030","","12/01/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","391204","11/09/2005","Raw Water","1","2","1100","","12/01/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Haloacetic Acids","Distribution System","(none)","(none)","","389497","10/21/2005","Compliance","1","6","800","","11/04/2005","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","389494","10/21/2005","Compliance","1","1","900","","11/04/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","389495","10/21/2005","Raw Water","1","2","900","","11/04/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","389496","10/21/2005","Compliance","1","5","800","","11/04/2005","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","384273","09/06/2005","Compliance","1","1","1400","","09/21/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","384274","09/06/2005","Raw Water","1","2","1400","","09/21/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","381759","08/15/2005","Compliance","1","1","1430","","09/02/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","381760","08/15/2005","Raw Water","1","2","1430","","09/02/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Haloacetic Acids","Distribution System","(none)","(none)","","378648","07/18/2005","Compliance","1","6","1430","","08/15/2005","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","378651","07/18/2005","Compliance","1","1","1530","","08/02/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","378650","07/18/2005","Raw Water","1","2","1530","","08/02/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","378649","07/18/2005","Compliance","1","5","1430","","08/15/2005","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","373785","06/08/2005","Compliance","1","1","930","","06/27/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","373784","06/08/2005","Raw Water","1","2","930","","06/27/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","369529","05/02/2005","Compliance","1","1","1145","","05/12/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","369530","05/02/2005","Raw Water","1","2","1145","","05/12/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Haloacetic Acids","Distribution System","(none)","(none)","","366510","04/04/2005","Compliance","1","6","1030","","04/25/2005","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","366503","04/04/2005","Compliance","1","1","1000","","04/18/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","366502","04/04/2005","Raw Water","1","2","1000","","04/18/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","366511","04/04/2005","Compliance","1","5","1030","","04/25/2005","Distribution System","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","363415","03/07/2005","Compliance","1","1","1400","","03/17/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","363416","03/07/2005","Raw Water","1","2","1400","","03/17/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","","361825","02/10/2005","Compliance","1","18","830","","02/23/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","361652","02/08/2005","Compliance","1","1","1350","","03/01/2005","Entry Point","","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","361651","02/08/2005","Raw Water","1","2","1350","","03/01/2005","Well","","721026460","Northern Lake Service Inc. (Crandon)","",""
